id,grieks,translit,translitz,nedS,nedI,nedSz,nedIz,strong,CGTparsing,CGTparsingT,CGTparsingN,CGTparsingTN,griUniekeid,bijvolgende,samen
16873,αφιδω,ap<sup>h</sup>idō,aphido,<i>dat-(ik)</i>-VANAF-WAARNEME,<i>dat (ik)</i> overzie,dat-(ik)-VANAF-WAARNEME,dat (ik) overzie,872,V-NNAS-1S,V-2AAS-1S,W-GHAV-1E,W-2Ao-Act-Con-1E,530,NULL,NULL
16874,πεποιθα,pepoit<sup>h</sup>a,pepoitha,<i>(ik)-heb</i>-OVERTUIG<i>d</i>,<i>(ik) heb</i> overtuig<i>d</i>,ik-heb-OVERTUIGd,ik heb overtuigd,3982,V-RCAI-1S,V-2RAI-1S,W-HVAA-1E,W-2Pf-Act-Ind-1E,3997,NULL,NULL
16876,επαφροδιτον,epap<sup>h</sup>roditon,epaphroditon,OP-geSCHUIMd,Epafroditus,OP-geSCHUIMd,Epafroditus,1891,N-ASM,N-ASM,N-AME,N-AME,1757,NULL,NULL
16877,συστρατιωτην,sustratiōtēn,sustratioten,SAMEN-KRIJGer,medesoldaat,SAMEN-KRIJGer,medesoldaat,4961,N-ASM,N-ASM,N-AME,N-AME,5180,NULL,NULL
16878,αποστολον,apostolon,apostolon,VANAF-geSTELde,afgevaardigde,VANAF-geSTELde,afgevaardigde,652,N-ASM,N-ASM,N-AME,N-AME,635,NULL,NULL
16879,επιποθων,epipot<sup>h</sup>ōn,epipothon,OP-VERLANGEN<i>de-zijnde</i>,verlangen<i>de zijnde</i> naar,OP-VERLANGENde-zijnde,verlangende zijnde naar,1971,V-NIAP-NSM,V-PAP-NSM,W-GOAD-NME,W-Pr-Act-Ptc-NME,1866,NULL,NULL
16880,αδημονων,adēmonōn,ademonon,ON-BEVOLKING-zijn<i>de-zijnde</i>,terneergedrukt zijn<i>de zijnde</i>,ON-BEVOLKING-zijnde-zijnde,terneergedrukt zijnde zijnde,85,V-NIAP-NSM,V-PAP-NSM,W-GOAD-NME,W-Pr-Act-Ptc-NME,34,NULL,NULL
16881,ησθενησεν,ēst<sup>h</sup>enēsen,esthenesen,<i>(hij)</i>-ON-HECHT-is,<i>(hij)</i> is zwak,hij-ON-HECHT-is,hij is zwak,770,V-NNAI-3S,V-AAI-3S,W-GHAA-3E,W-Ao-Act-Ind-3E,772,NULL,NULL
16882,παραπλησιον,paraplēsion,paraplesion,LANGSBIJ-NABIJ,zeer nabij,LANGSBIJ-NABIJ,zeer nabij,3897,ADV,ADV,BIJW,BIJW,3904,NULL,NULL
16883,σπουδαιοτερως,spoudaioterōs,spoudaioteros,IJVERIG-ALS-<i>meer</i>,ijverig<i>er</i>,IJVERIG-ALS-meer,ijveriger,4708,ADV-C,ADV-C,BIJW-V,BIJW-V,4921,NULL,NULL
16884,χαρητε,k<sup>h</sup>arēte,kharete,<i>dat-(jullie)</i>-VERHEUG<i>d-worde-n</i>,<i>dat (jullie)</i> (je)<i></i> verheugen<i>d worde(n)</i>,dat-jullie-VERHEUGd-worde-n,dat jullie (je) verheugend worde(n),5463,V-NNPS-2P,V-2AOS-2P,W-GHPV-2M,W-2Ao-Pas-Con-2M,989,NULL,NULL
16885,αλυποτερος,alupoteros,alupoteros,ON-BEDROEFd-meer,(minder) bedroefd,ON-BEDROEFd-meer,(minder) bedroefd,253,A-NSM-C,A-NSM-C,A-NME-V,A-NME-V,221,NULL,NULL
16887,προσδεχεσθε,prosdek<sup>h</sup>est<sup>h</sup>e,prosdekhesthe,<i>wees-(jullie)</i>-NAARTOE-ONTVANGEN<i>de!</i><sup>๏</sup>,<i>wees (jullie)</i> uitzien<i>de</i> naar!<sup>๏</sup>,weest-jullie-NAARTOE-ONTVANGENde!,weest jullie uitziende naar!,4327,V-NIMM-2P,V-PNM-2P,W-GOMG-2M,W-Pr-Med-Imp-2M,4505,NULL,NULL
16888,εντιμους,entimous,entimous,IN-geWAARDEerd<i>e</i>,in ere (houden),IN-geWAARDEerde,in ere (houden),1784,A-APM,A-APM,A-AMM,A-AMM,1717,NULL,NULL
16889,παραβολευσαμενος,paraboleusamenos,paraboleusamenos,LANGSBIJ-WERPEN<i>de</i><sup>๏</sup>,riskeren<i>de</i><sup>๏</sup>,LANGSBIJ-WERPENde,riskerende,[3851],V-NNMP-NSM,V-ADP-NSM,W-GHMD-NME,W-Ao-Med-Ptc-NME,3857,NULL,NULL
16890,αναπληρωση,anaplērōsē,anaplerose,<i>dat-(hij)</i>-OPWAARTS-doe-VULLEN,<i>dat (hij)</i> volmake,dat-hij-OPWAARTS-doe-VULLEN,dat hij volmake,378,V-NNAS-3S,V-AAS-3S,W-GHAV-3E,W-Ao-Act-Con-3E,333,NULL,NULL
16891,οκνηρον,oknēron,okneron,TALMENd,talmend,TALMENd,talmend,3636,A-NSN,A-NSN,A-NOE,A-NOE,3687,NULL,NULL
16892,ασφαλες,asp<sup>h</sup>ales,asphales,ON-WANKELENd,verzekerd<i>e</i>,ON-WANKELENd,verzekerde,804,A-NSN,A-NSN,A-NOE,A-NOE,757,NULL,NULL
16893,κυνας,kunas,kunas,WEMELENde<i>n</i>,(straat)hond<i>en</i>,WEMELENden,(straat)honden,2965,N-APM,N-APM,N-AMM,N-AMM,3141,NULL,NULL
16894,κατατομην,katatomēn,katatomen,NEER-SNIJDing,versnijdenis,NEER-SNIJDing,versnijdenis,2699,N-ASF,N-ASF,N-AVE,N-AVE,2856,NULL,NULL
16895,λατρευοντες,latreuontes,latreuontes,GODSDIENST-aanbieden<i>de-zijnden</i>,god/God dienen<i>de zijnden</i>,GODSDIENST-aanbiedende-zijnden,god/God dienende zijnden,3000,V-NIAP-NPM,V-PAP-NPM,W-GOAD-NMM,W-Pr-Act-Ptc-NMM,3177,NULL,NULL
16896,καιπερ,kaiper,kaiper,EN-ZELFS,ook al ...,EN-ZELFS,ook al ...,2539,CONJ,CONJ,VOEG,VOEG,2678,NULL,NULL
16897,πεποιθεναι,pepoit<sup>h</sup>enai,pepoithenai,OVERTUIG<i>d-te-hebben</i>,overtuig<i>d te hebben</i>,OVERTUIGd-te-hebben,overtuigd te hebben,3982,V-NCAN,V-2RAN,W-GVAO,W-2Pf-Act-Inf,3997,NULL,NULL
16898,οκταημερος,oktaēmeros,oktaemeros,ACHT-DAG,achtste dag,ACHT-DAG,achtste dag,3637,A-NSM,A-NSM,A-NME,A-NME,3688,NULL,NULL
16899,εβραιος,<sup>h</sup>ebraios,hebraios,HEBREEër,Hebreeër,HEBREEër,Hebreeër,1445,A-NSM,A-NSM,A-NME,A-NME,2253,NULL,NULL
16900,εβραιων,<sup>h</sup>ebraiōn,hebraion,<i>van</i>-HEBREEër,<i>van</i> Hebreeër,van-HEBREEër,van Hebreeër,1445,A-GPM,A-GPM,A-GMM,A-GMM,2253,NULL,NULL
16901,αμεμπτος,amemptos,amemptos,ON-BLAMEERbaar,onberispelijk,ON-BLAMEERbaar,onberispelijk,273,A-NSM,A-NSM,A-NME,A-NME,230,NULL,NULL
16902,κερδη,kerdē,kerde,WINST<i>en</i>,winst<i>en</i>,WINSTen,winsten,2771,N-NPN,N-NPN,N-NOM,N-NOM,2959,NULL,NULL
16903,ηγουμαι,<sup>h</sup>ēgoumai,hegoumai,<i>(ik)-ben</i>-VOEREN<i>de</i><sup>๏</sup>,<i>(ik) ben</i> aanvoeren<i>de</i><sup>๏</sup>,ik-ben-VOERENde,ik ben aanvoerende,2233,V-RIMI-1S,V-PNI-1S,W-HOMA-1E,W-Pr-Med-Ind-1E,2265,NULL,NULL
16904,υπερεχον,<sup>h</sup>uperek<sup>h</sup>on,huperekhon,BOVEN-HEBBEN<i>de-zijnde</i>,superieur zijn<i>de zijnde</i>,BOVEN-HEBBENde-zijnde,superieur zijnde zijnde,5242,V-NIAP-ASN,V-PAP-ASN,W-GOAD-AOE,W-Pr-Act-Ptc-AOE,2504,NULL,NULL
16905,εζημιωθην,ezēmiōt<sup>h</sup>ēn,ezemiothen,<i>(ik)-word</i>-BOETE+VERLOREN,<i>(ik)</i> lijd verlies*,(ik)-word-BOETE+VERLOREN,(ik) lijd verlies*,2210,V-NNPI-1S,V-API-1S,W-GHPA-1E,W-Ao-Pas-Ind-1E,5490,NULL,NULL
16906,σκυβαλα,skubala,skubala,AFVAL<sup>mv</sup>,drek<sup>mv</sup>,AFVAL,drek,4657,N-APN,N-APN,N-AOM,N-AOM,4853,NULL,NULL
16907,ευρεθω,<sup>h</sup>euret<sup>h</sup>ō,heuretho,<i>dat-(ik)-ge</i>VONDEN-<i>worde</i>,<i>dat (ik) ge</i>vonden <i>worde</i>,dat-ik-geVONDEN-worde,dat ik gevonden worde,2147,V-NNPS-1S,V-APS-1S,W-GHPV-1E,W-Ao-Pas-Con-1E,2336,NULL,NULL
16908,συμμορφιζομενος,summorp<sup>h</sup>izomenos,summorphizomenos,SAMEN-VORMen<i>de-zijnde</i><sup>๏</sup>,gelijkvormig worden<i>de zijnde</i><sup>๏</sup>,SAMEN-VORMende-zijnde,gelijkvormig wordende zijnde,4833,V-NIMP-NSM,V-PPP-NSM,W-GOMD-NME,W-Pr-Med-Ptc-NME,5034,NULL,NULL
16909,καταντησω,katantēsō,katanteso,<i>dat-(ik)</i>-NEER-INPLAATS-e,<i>dat (ik)</i> rake,dat-(ik)-NEER-INPLAATS-e,dat (ik) rake,2658,V-NNAS-1S,V-AAS-1S,W-GHAV-1E,W-Ao-Act-Con-1E,2806,NULL,NULL
16910,εξαναστασιν,ek<sup>s</sup>anastasin,eksanastasin,UIT-OPWAARTS-STANDING,uitopstanding,UIT-OPWAARTS-STANDING,uitopstanding,1815,N-ASF,N-ASF,N-AVE,N-AVE,2065,NULL,NULL
16911,τετελειωμαι,teteleiōmai,teteleiomai,<i>(ik)-heb</i>-EINDE-<i>ge</i>maak<i>t</i><sup>๏</sup>,<i>(ik) heb</i> volbracht<sup>๏</sup>,ik-heb-EINDE-gemaakt,ik heb volbracht,5048,V-RCMI-1S,V-RPI-1S,W-HVMA-1E,W-Pf-Med-Ind-1E,5233,NULL,NULL
16912,διωκω,diōkō,dioko,<i>(ik)-ben</i>-ACHTERVOLGEN<i>de</i>,<i>(ik) ben</i> vervolgen<i>de</i>,ik-ben-ACHTERVOLGENde,ik ben vervolgende,1377,V-RIAI-1S,V-PAI-1S,W-HOAA-1E,W-Pr-Act-Ind-1E,1311,NULL,NULL
16913,καταλαβω,katalabō,katalabo,<i>dat-(ik)</i>-NEER-VATTE,<i>dat (ik)</i> grijpe,dat-ik-NEER-VATTE,dat ik grijpe,2638,V-NNAS-1S,V-2AAS-1S,W-GHAV-1E,W-2Ao-Act-Con-1E,2788,NULL,NULL
16914,κατελημφθην,katelēmp<sup>h</sup>t<sup>h</sup>ēn,katelemphthen,<i>(ik)-wordt</i>-NEER-<i>ge</i>VAT,<i>(ik) wordt ge</i>grepen,ik-wordt-NEER-geVAT,ik wordt gegrepen,2638,V-NNPI-1S,V-API-1S,W-GHPA-1E,W-Ao-Pas-Ind-1E,2788,NULL,NULL
16916,κατειληφεναι,kateilēp<sup>h</sup>enai,kateilephenai,NEER-<i>ge</i>VAT-<i>te-hebben</i>,<i>ge</i>grepen <i>te hebben</i>,NEER-geVAT-te-hebben,gegrepen te hebben,2638,V-NCAN,V-RAN,W-GVAO,W-Pf-Act-Inf,2788,NULL,NULL
16917,επιλανθανομενος,epilant<sup>h</sup>anomenos,epilanthanomenos,OP-VERGEETachtig-<i>zijnde</i>-OPWAARTS-<i>zijnde</i><sup>๏</sup>,vergeten<i>de zijnde</i><sup>๏</sup>,OP-VERGEETachtig-zijnde-OPWAARTS-zijnde,vergetende zijnde,1950,V-NIMP-NSM,V-PNP-NSM,W-GOMD-NME,W-Pr-Med-Ptc-NME,1837,NULL,NULL
16918,επεκτεινομενος,epekteinomenos,epekteinomenos,OP-UIT-STREKKEN<i>de-zijnde</i><sup>๏</sup>,uitstrekken<i>de zijnde</i> (naar)<sup>๏</sup>,OP-UIT-STREKKENde-zijnde,uitstrekkende zijnde (naar),1901,V-NIMP-NSM,V-PNP-NSM,W-GOMD-NME,W-Pr-Med-Ptc-NME,1776,NULL,NULL
16919,σκοπον,skopon,skopon,OPgeMERKt,doel,OPgeMERKt,doel,4649,N-ASM,N-ASM,N-AME,N-AME,4845,NULL,NULL
16920,φρονωμεν,p<sup>h</sup>ronōmen,phronomen,<i>dat-(wij)</i>-geNEIGd-zijn<i>de-zij-n</i>,<i>dat (wij)</i> gezind zijn<i>de zij(n)</i>,dat-wij-geNEIGd-zijnde-zij-n,dat wij gezind zijnde zij(n),5426,V-NIAS-1P,V-PAS-1P,W-GOAV-1M,W-Pr-Act-Con-1M,4203,NULL,NULL
16921,ετερως,<sup>h</sup>eterōs,heteros,VERSCHILLEND-ALS,verschillend,VERSCHILLEND-ALS,verschillend,2088,ADV,ADV,BIJW,BIJW,2328,NULL,NULL
16922,φρονειτε,p<sup>h</sup>roneite,phroneite,<i>(jullie)-zijn</i>-geNEIGd-zijn<i>de</i>,<i>(jullie) zijn</i> gezind zijn<i>de</i>,jullie-zijn-geNEIGd-zijnde,jullie zijn gezind zijnde,5426,V-RIAI-2P,V-PAI-2P,W-HOAA-2M,W-Pr-Act-Ind-2M,4203,NULL,NULL
16923,αποκαλυψει,apokalup<sup>s</sup>ei,apokalupsei,<i>(hij)-zal</i>-VANAF-DEKKEN<i>de-zijn</i>,<i>(hij) zal</i> onthullen<i>de zijn</i>,(hij)-zal-VANAF-DEKKENde-zijn,(hij) zal onthullende zijn,601,V-FIAI-3S,V-FAI-3S,W-TOAA-3E,W-Fu-Act-Ind-3E,580,NULL,NULL
16924,στοιχειν,stoik<sup>h</sup>ein,stoikhein,GRONDBEGINSELen<i>de-te-zijn</i>,grondregels opvolgen<i>de te zijn</i>,GRONDBEGINSELende-te-zijn,grondregels opvolgende te zijn,4748,V-NIAN,V-PAN,W-GOAO,W-Pr-Act-Inf,4961,NULL,NULL
16925,κανονι,kanoni,kanoni,<i>aan</i>-REGEL,<i>aan</i> richtsnoer,aan-REGEL,aan richtsnoer,2583,N-DSM,N-DSM,N-DME,N-DME,2724,NULL,NULL
16926,συμμιμηται,summimētai,summimetai,SAMEN-NABOOTSer<i>s</i>,medenavolger<i>s</i>,SAMEN-NABOOTSers,medenavolgers,4831,N-NPM,N-NPM,N-NMM,N-NMM,5033,NULL,NULL
16927,σκοπειτε,skopeite,skopeite,<i>wees-(jullie)</i>-OPMERKEN<i>de!</i>,<i>wees (jullie)</i> opmerken<i>de!</i>,weest-jullie-OPMERKENde!,weest jullie opmerkende!,4648,V-NIAM-2P,V-PAM-2P,W-GOAG-2M,W-Pr-Act-Imp-2M,4844,NULL,NULL
16928,κλαιων,klaiōn,klaion,JAMMEREN<i>de-zijnde</i>,wenen<i>de zijnde</i>,JAMMERENde-zijnde,wenende zijnde,2799,V-NIAP-NSM,V-PAP-NSM,W-GOAD-NME,W-Pr-Act-Ptc-NME,2977,NULL,NULL
16929,αισχυνη,aisk<sup>h</sup>unē,aiskhune,SCHANDE,schande,SCHANDE,schande,152,N-DSF,N-DSF,N-DVE,N-DVE,131,NULL,NULL
16930,πολιτευμα,politeuma,politeuma,VEEL-effect,burgerschap,VEEL-effect,burgerschap,4175,N-NSN,N-NSN,N-NOE,N-NOE,4332,NULL,NULL
16931,μετασχηματισει,metask<sup>h</sup>ēmatisei,metaskhematisei,<i>(hij)-zal</i>-MET-FIGURen<i>de-zijn</i>,<i>(hij) zal</i> omzetten<i>de zijn</i>,(hij)-zal-MET-FIGURende-zijn,(hij) zal omzettende zijn,3345,V-FIAI-3S,V-FAI-3S,W-TOAA-3E,W-Fu-Act-Ind-3E,3429,NULL,NULL
16932,ταπεινωσεως,tapeinōseōs,tapeinoseos,VERLAGing,nederigheid,VERLAGing,nederigheid,5014,N-GSF,N-GSF,N-GVE,N-GVE,5206,NULL,NULL
16933,συμμορφον,summorp<sup>h</sup>on,summorphon,SAMEN-geVORMd<i>e</i>,gelijkvormig,SAMEN-geVORMde,gelijkvormig,4832,A-ASN,A-ASN,A-AOE,A-AOE,5035,NULL,NULL
16934,υποταξαι,<sup>h</sup>upotak<sup>s</sup>ai,hupotaksai,ONDER-<i>te</i>-ZETTEN,<i>te</i> onderschikken,ONDER-te-ZETTEN,te onderschikken,5293,V-NNAN,V-AAN,W-GHAO,W-Ao-Act-Inf,2565,NULL,NULL
16935,επιποθητοι,epipot<sup>h</sup>ētoi,epipothetoi,OP-VERLANGENd!,verlangend naar!,OP-VERLANGENd!,verlangend naar!,1973,A-VPM,A-VPM,A-VMM,A-VMM,1868,NULL,NULL
16936,στεφανος,step<sup>h</sup>anos,stephanos,VLECHTSEL,krans,VLECHTSEL,krans,4735,N-NSM,N-NSM,N-NME,N-NME,4947,NULL,NULL
16937,ευοδιαν,euodian,euodian,WEL-WEG,Euodia,WEL-WEG,Euodia,2136,N-ASF,N-ASF,N-AVE,N-AVE,2013,NULL,NULL
16938,συντυχην,suntuk<sup>h</sup>ēn,suntukhen,SAMEN-TOEVALLEN,Syntyche,SAMEN-TOEVALLEN,Syntyche,4941,N-ASF,N-ASF,N-AVE,N-AVE,5158,NULL,NULL
16939,γνησιε,gnēsie,gnesie,GEWORDEN<i>e!</i>,echt<i>e!</i>,GEWORDENe!,echte!,1103,A-VSM,A-VSM,A-VME,A-VME,2164,NULL,NULL
16940,συνζυγε,sunzuge,sunzuge,SAMEN-JUKker!,medejukdrager!,SAMEN-JUKker!,medejukdrager!,4805,A-VSM,A-VSM,A-VME,A-VME,5167,NULL,NULL
16941,συλλαμβανου,sullambanou,sullambanou,<i>wees-(jij)</i>-SAMEN-VATTEN<i>de</i>-OPWAARTS!<sup>๏</sup>,<i>wees (jij)</i> (tezamen) grijpen<i>de!</i><sup>๏</sup>,wees-(jij)-SAMEN-VATTENde-OPWAARTS!๏,wees (jij) (tezamen) grijpende!๏,4815,V-NIMM-2S,V-PMM-2S,W-GOMG-2E,W-Pr-Med-Imp-2E,5018,NULL,NULL
16942,συνηθλησαν,sunēt<sup>h</sup>lēsan,sunethlesan,<i>(zij)</i>-SAMEN-WEDIJVEREN,<i>(zij)</i> wedijveren tezamen,(zij)-SAMEN-WEDIJVEREN,(zij) wedijveren tezamen,4866,V-NNAI-3P,V-AAI-3P,W-GHAA-3M,W-Ao-Act-Ind-3M,5086,NULL,NULL
16943,κλημεντος,klēmentos,klementos,CLEMENS,Clemens,CLEMENS,Clemens,2815,N-GSM,N-GSM,N-GME,N-GME,2987,NULL,NULL
16944,συνεργων,sunergōn,sunergon,SAMEN-WERKer,medewerker,SAMEN-WERKer,medewerker,4904,A-GPM,A-GPM,A-GMM,A-GMM,5115,NULL,NULL
16945,επιεικες,epieikes,epieikes,OP-geSIMULEERd<i>e</i>,inschikkelijk,OP-geSIMULEERde,inschikkelijk,1933,A-NSN,A-NSN,A-NOE,A-NOE,1818,NULL,NULL
16946,γνωσθητω,gnōst<sup>h</sup>ētō,gnostheto,<i>laat-(hij)-ge</i>KEN<i>d-worden!</i>,<i>laat (hij) ge</i>ken<i>d worden!</i>,laat-(hij)-geKENd-worden!,laat (hij) gekend worden!,1097,V-NNPM-3S,V-APM-3S,W-GHPG-3E,W-Ao-Pas-Imp-3E,2166,NULL,NULL
16947,ευχαριστιας,euk<sup>h</sup>aristias,eukharistias,<i>van</i>-WEL-VREUGDE,<i>van</i> dank,van-WEL-VREUGDE,van dank,2169,N-GSF,N-GSF,N-GVE,N-GVE,1983,NULL,NULL
16948,αιτηματα,aitēmata,aitemata,VERZOEK-effect<i>en</i>,verzoek<i>en</i>,VERZOEK-effecten,verzoeken,155,N-APN,N-APN,N-AOM,N-AOM,136,NULL,NULL
16949,γνωριζεσθω,gnōrizest<sup>h</sup>ō,gnorizestho,<i>laat-(hij)</i>-doen<i>de</i>-KENNEN-<i>zijn!</i><sup>๏</sup>,<i>laat (hij)</i> bekend maken<i>de zijn!</i><sup>๏</sup>,laat-(hij)-doende-KENNEN-zijn!๏,laat (hij) bekend makende zijn!๏,1107,V-NIMM-3S,V-PPM-3S,W-GOMG-3E,W-Pr-Med-Imp-3E,2169,NULL,NULL
16950,υπερεχουσα,<sup>h</sup>uperek<sup>h</sup>ousa,huperekhousa,BOVEN-HEBBEN<i>de-zijnde</i>,superieur zijn<i>de zijnde</i>,BOVEN-HEBBENde-zijnde,superieur zijnde zijnde,5242,V-NIAP-NSF,V-PAP-NSF,W-GOAD-NVE,W-Pr-Act-Ptc-NVE,2504,NULL,NULL
16951,φρουρησει,p<sup>h</sup>rourēsei,phrouresei,<i>(hij)-zal</i>-IN+GARNIZOEN+LEGGEN<i>de-zijn</i>,<i>(hij) zal</i> verzekerd bewaren<i>de zijn</i>,(hij)-zal-IN+GARNIZOEN+LEGGENde-zijn,(hij) zal verzekerd bewarende zijn,5432,V-FIAI-3S,V-FAI-3S,W-TOAA-3E,W-Fu-Act-Ind-3E,4208,NULL,NULL
16952,σεμνα,semna,semna,ERNSTig,eerbaar,ERNSTig,eerbaar,4586,A-NPN,A-NPN,A-NOM,A-NOM,4783,NULL,NULL
16953,δικαια,dikaia,dikaia,RECHTVAARDIG,rechtvaardig,RECHTVAARDIG,rechtvaardig,1342,A-NPN,A-NPN,A-NOM,A-NOM,1299,NULL,NULL
16954,αγνα,<sup>h</sup>agna,hagna,ZUIVER,zuiver/rein,ZUIVER,zuiver/rein,53,A-NPN,A-NPN,A-NOM,A-NOM,2211,NULL,NULL
16955,προσφιλη,prosp<sup>h</sup>ilē,prosphile,NAARTOE-MINNENd,vriendelijk,NAARTOE-MINNENd,vriendelijk,4375,A-NPN,A-NPN,A-NOM,A-NOM,4551,NULL,NULL
16956,ευφημα,eup<sup>h</sup>ēma,euphema,WEL-VERKLAARd,welluidend,WEL-VERKLAARd,welluidend,2163,A-NPN,A-NPN,A-NOM,A-NOM,2020,NULL,NULL
16957,αρετη,aretē,arete,DEUGD,deugd,DEUGD,deugd,703,N-NSF,N-NSF,N-NVE,N-NVE,691,NULL,NULL
16958,λογιζεσθε,logizest<sup>h</sup>e,logizesthe,<i>wees-(jullie)</i>-doen<i>de</i>-VERZAMELEN!<sup>๏</sup>,<i>wees (jullie)</i> rekenen<i>de!</i><sup>๏</sup>,weest-jullie-doende-VERZAMELEN!,weest jullie rekenende!,3049,V-NIMM-2P,V-PNM-2P,W-GOMG-2M,W-Pr-Med-Imp-2M,3232,NULL,NULL
16959,εμαθετε,emat<sup>h</sup>ete,emathete,<i>(jullie)</i>-LEREN,<i>(jullie)</i> leren,jullie-LEREN,jullie leren,3129,V-NNAI-2P,V-2AAI-2P,W-GHAA-2M,W-2Ao-Act-Ind-2M,3306,NULL,NULL
16960,εχαρην,ek<sup>h</sup>arēn,ekharen,<i>(ik)-word</i>-VERHEUG<i>d</i>,<i>(ik) word</i> (me) verheug<i>d</i>,ik-word-VERHEUGd,ik word (me) verheugd,5463,V-NNPI-1S,V-2AOI-1S,W-GHPA-1E,W-2Ao-Pas-Ind-1E,989,NULL,NULL
16961,μεγαλως,megalōs,megalos,GROOT-ALS,in grote mate,GROOT-ALS,in grote mate,3171,ADV,ADV,BIJW,BIJW,3353,NULL,NULL
16962,ανεθαλετε,anet<sup>h</sup>alete,anethalete,<i>(jullie)</i>-OPWAARTS-bloeien</i>,<i>(jullie)</i> bloeien,(jullie)-OPWAARTS-bloeien,(jullie) bloeien,330,V-NNAI-2P,V-2AAI-2P,W-GHAA-2M,W-2Ao-Act-Ind-2M,351,NULL,NULL
16963,εφρονειτε,ep<sup>h</sup>roneite,ephroneite,<i>(jullie)</i>-geNEIGd-war<i>en</i>,<i>(jullie)</i> war<i>en</i> gezind,(jullie)-geNEIGd-waren,(jullie) waren gezind,5426,V-PIAI-2P,V-IAI-2P,W-VOAA-2M,W-Im-Act-Ind-2M,4203,NULL,NULL
16964,ηκαιρεισθε,ēkaireist<sup>h</sup>e,ekaireisthe,<i>(jullie)</i>-ON-SEIZOEN-had<i>den</i><sup>๏</sup>,<i>(jullie)</i> had<i>den</i> geen gelegenheid<sup>๏</sup>,(jullie)-ON-SEIZOEN-hadden๏,(jullie) hadden geen gelegenheid๏,170,V-PIMI-2P,V-INI-2P,W-VOMA-2M,W-Im-Med-Ind-2M,142,NULL,NULL
16965,υστερησιν,<sup>h</sup>usterēsin,husteresin,BEHOEFTigheid,gebrek,BEHOEFTigheid,gebrek,5304,N-ASF,N-ASF,N-AVE,N-AVE,2580,NULL,NULL
16966,εμαθον,emat<sup>h</sup>on,emathon,<i>(ik)</i>-LEER,<i>(ik)</i> leer,(ik)-LEER,(ik) leer,3129,V-NNAI-1S,V-2AAI-1S,W-GHAA-1E,W-2Ao-Act-Ind-1E,3306,NULL,NULL
16967,αυταρκης,autarkēs,autarkes,ZELFDE-VOLDOENd,tevreden,ZELFDE-VOLDOENd,tevreden,842,A-NSM,A-NSM,A-NME,A-NME,825,NULL,NULL
16968,ταπεινουσθαι,tapeinoust<sup>h</sup>ai,tapeinousthai,doen<i>de</i>-verLAG<i>en-te-zijn</i><sup>๏</sup>,nederig opstellen<i>de te zijn</i><sup>๏</sup>,doende-verLAGen-te-zijn๏,nederig opstellende te zijn๏,5013,V-NIMN,V-PPN,W-GOMO,W-Pr-Med-Inf,5203,NULL,NULL
16969,μεμυημαι,memuēmai,memuemai,<i>(ik)-heb-ge</i>-DICHT<sup>๏</sup>,<i>(ik) heb</i> in<i>ge</i>wijd<sup>๏</sup>,ik-heb-ge-DICHT,ik heb ingewijd,3453,V-RCMI-1S,V-RPI-1S,W-HVMA-1E,W-Pf-Med-Ind-1E,3527,NULL,NULL
16970,χορταζεσθαι,k<sup>h</sup>ortazest<sup>h</sup>ai,khortazesthai,VOEDERen<i>de-te-zijn</i><sup>๏</sup>,verzadigen<i>de te zijn</i><sup>๏</sup>,VOEDERende-te-zijn,verzadigende te zijn,5526,V-NIMN,V-PPN,W-GOMO,W-Pr-Med-Inf,1058,NULL,NULL
16971,πειναν,peinan,peinan,HONGEREN<i>de-te-zijn</i>,honger hebben<i>de te zijn</i>,HONGERENde-te-zijn,honger hebbende te zijn,3983,V-NIAN,V-PAN,W-GOAO,W-Pr-Act-Inf,3990,NULL,NULL
16972,ενδυναμουντι,endunamounti,endunamounti,IN-doen<i>de</i>-VERMOGEN-<i>zijnde</i>,kracht geven<i>de zijnde</i>,IN-doende-VERMOGEN-zijnde,kracht gevende zijnde,1743,V-NIAP-DSM,V-PAP-DSM,W-GOAD-DME,W-Pr-Act-Ptc-DME,1674,NULL,NULL
16973,συγκοινωνησαντες,sugkoinōnēsantes,sugkoinonesantes,SAMEN-GEMEEN-ZIJN<i>den</i>,mede deelnemen<i>den</i> (aan),SAMEN-GEMEEN-ZIJNden,mede deelnemenden (aan),4790,V-NNAP-NPM,V-AAP-NPM,W-GHAD-NMM,W-Ao-Act-Ptc-NMM,5004,NULL,NULL
16974,φιλιππησιοι,p<sup>h</sup>ilippēsioi,philippesioi,MINNENd-PAARD-er<i>s!</i>,Filippenzen!,MINNENd-PAARD-ers!,Filippenzen!,5374,N-VPM,N-VPM,N-VMM,N-VMM,4144,NULL,NULL
16976,εκοινωνησεν,ekoinōnēsen,ekoinonesen,<i>(hij)</i>-GEMEEN-IS,<i>(hij)</i> neem<i>t</i> deel aan,(hij)-GEMEEN-IS,(hij) neemt deel aan,2841,V-NNAI-3S,V-AAI-3S,W-GHAA-3E,W-Ao-Act-Ind-3E,3018,NULL,NULL
16977,δοσεως,doseōs,doseos,<i>van</i>-GEVing,<i>van</i> (het) geven,van-GEVing,van (het) geven,1394,N-GSF,N-GSF,N-GVE,N-GVE,1361,NULL,NULL
