id,Gri,translit,GriZ,stamgegevens,parent,vergelijk
688,-καρπ-,-karp-,-karp-,VRUCHT,NULL,NULL
689,-καρφ-,-karp<sup>h</sup>-,-karf-,SPLINTER,NULL,NULL
690,-κατα-/-κατ-/-καθ-/-κα-,-kata-/-kat-/-kat<sup>h</sup>-/-ka-,-kata-/-kat-/-kaq-/-ka-,NEER,NULL,NULL
691,-κατ-,-kat-,-kat-,NEER (gevolg door klinker),690,NULL
692,-καθ-,-kat<sup>h</sup>-,-kaq-,NEER,690,NULL
693,-κα-,-ka-,-ka-,NEER,690,NULL
694,καυδα,kauda,kauda,KAUDA,NULL,NULL
695,-καυχ-,-kauk<sup>h</sup>-,-kauc-,ROEM,NULL,NULL
696,καφαρναυμ,kap<sup>h</sup>arnaum,kafarnaum,KAPERNAUM,NULL,NULL
697,κεγχρεαι,kegk<sup>h</sup>reai,kegcreai,KENCHREE,NULL,NULL
698,κεδρων,kedrōn,kedrwn,KEDRON (HEB),NULL,NULL
699,-κει-/-κοι-,-kei-/-koi-,-kei-/-koi-,LIGGEN,NULL,NULL
700,-κοι-,-koi-,-koi-,LIGGEN,699,NULL
701,-κειρ-,-keir-,-keir-,SCHAAR,NULL,NULL
702,κεις,keis,keis,KEIS (HEB),NULL,NULL
703,-κελ-,-kel-,-kel-,AANDRIJVEN,NULL,NULL
704,-κελευ-,-keleu-,-keleu-,BEVEL,NULL,NULL
705,-κεν-,-ken-,-ken-,LEEG,NULL,NULL
706,-κεντ-,-kent-,-kent-,STEKEN,NULL,NULL
707,κεντυριον,kenturion,kenturion,CENTURION (LAT),NULL,NULL
708,-κερ-,-ker-,-ker-,KNIP,NULL,NULL
782,-κραββατ-,-krabbat-,-krabbat-,BAAR,NULL,NULL
709,-κερδ-,-kerd-,-kerd-,"WINNEN (vergelijk <span class=""Greek"">-kra-</span> HOUDEN)",NULL,777
710,-κεφαλ-,-kep<sup>h</sup>al-,-kefal-,HOOFD,NULL,NULL
711,-κημ-,-kēm-,-khm-,INTOMEN,NULL,NULL
712,-κηνσ-,-kēns-,-khns-,KOPPENGELD (LAT),NULL,NULL
713,-κηπ-,-kēp-,-khp-,TUIN,NULL,NULL
714,-κηρυ-,-kēru-,-khru-,HERAUT,NULL,NULL
715,-κητ-,-kēt-,-kht-,ZEEMONSTER,NULL,NULL
716,κηφας,kēp<sup>h</sup>as,khfas,KEFAS (HEB),NULL,NULL
717,-κιβ-,-kib-,-kib-,ARK,NULL,NULL
718,-κιθαρ-,-kit<sup>h</sup>ar-,-kiqar-,LIER,NULL,NULL
719,κιλικια,kilikia,kilikia,CILICIE,NULL,NULL
720,-κιν-/-κειν-,-kin-/-kein-,-kin-/-kein-,BEWEGEN,NULL,NULL
721,-κινδ-,-kind-,-kind-,GEVAAR,NULL,NULL
722,-κινναμον-,-kinnamon-,-kinnamon-,KANEEL,NULL,NULL
723,-κλα-/-κλη-,-kla-/-klē-,-kla-/-klh-,BREUK,NULL,NULL
724,-κλα-,-kla-,-kla-,JAMMEREN,NULL,NULL
725,κλαυδια,klaudia,klaudia,CLAUDIA,NULL,NULL
726,κλαυδιος,klaudios,klaudios,CLAUDIUS,NULL,NULL
727,-κλει-,-klei-,-klei-,SLUITEN,NULL,NULL
728,κλεοπας,kleopas,kleopas,KLEOPAS,NULL,NULL
729,κλημης,klēmēs,klhmhs,CLEMENS (LAT),NULL,NULL
730,-κληρ-,-klēr-,-klhr-,LOT,NULL,NULL
731,-κλιβαν-,-kliban-,-kliban-,OVEN,NULL,NULL
732,-κλιν-/-κλι-,-klin-/-kli-,-klin-/-kli-,BUIG,NULL,NULL
733,-κλυ,-klu,-klu,DEINEN,NULL,NULL
734,κλωπας,klōpas,klwpas,KLOPAS,NULL,NULL
735,-κνηθ-,-knēt<sup>h</sup>-,-knhq-,KITTELEN,NULL,NULL
736,κνιδος,knidos,knidos,KNIDUS,NULL,NULL
737,κοδραντης,kodrantēs,kodranths,QUADRANS (LAT),NULL,NULL
738,-κοιλ-,-koil-,-koil-,HOLTE,NULL,NULL
739,κοιν-,koin-,koin-,GEMEEN,NULL,NULL
740,-κοκκ-,-kokk-,-kokk-,KORREL,NULL,NULL
741,-κολ-,-kol-,-kol-,LEVENSMIDDELEN,NULL,NULL
742,-κολ-,-kol-,-kol-,KASTIJDEN,NULL,NULL
743,-κολακ-,-kolak-,-kolak-,VLEIERIJ,NULL,NULL
744,κολοσσαι,kolossai,kolossai,KOLOSSE,NULL,NULL
745,-κολλ-,-koll-,-koll-,KLEVEN,NULL,NULL
746,-κολλυβ-/-κολοβ-,-kollub-/-kolob-,-kollub-/-kolob-,SNOEIEN,NULL,NULL
747,-κολπ-,-kolp-,-kolp-,BOEZEM,NULL,NULL
748,-κολυμβ-,-kolumb-,-kolumb-,ZWEMMEN,NULL,NULL
749,κολωνια,kolōnia,kolwnia,KOLONIE (LAT),NULL,NULL
750,-κομ-,-kom-,-kom-,HALEN,NULL,NULL
751,-κομ-,-kom-,-kom-,LOKKEN,NULL,NULL
752,-κομβ-,-komb-,-komb-,KNOOP,NULL,NULL
753,-κομψ-,-komp<sup>s</sup>-,-komy-,OPKNAPPEN,NULL,NULL
754,-κον-,-kon-,-kon-,DIENEN,NULL,NULL
755,-κονι-,-koni-,-koni-,STOF(WOLK),NULL,NULL
756,-κοντ-,-kont-,-kont-,TIG (in getallen),NULL,NULL
757,-κοπ-,-kop-,-kop-,HOUWEN,NULL,NULL
758,κοπρ-,kopr-,kopr-,MEST,NULL,NULL
759,-κορ-/-κουρ-,-kor-/-kour-,-kor-/-kour-,JEUGDIG,NULL,NULL
760,-κορ-,-kor-,-kor-,WACHTER,NULL,NULL
761,κορος,koros,koros,KOROS (HEB),NULL,NULL
762,κορα-,kora-,kora-,RAAF,NULL,NULL
763,κορβαν,korban,korban,KORBAN (HEB),NULL,NULL
764,-κορε-,-kore-,-kore-,VERZADIGEN,NULL,NULL
765,-κορε-,-kore-,-kore-,KORACH (HEB),NULL,NULL
766,κορινθ-,korint<sup>h</sup>-,korinq-,KORINTE,NULL,NULL
767,κορνηλιος,kornēlios,kornhlios,CORNELIUS (LAT),NULL,NULL
768,-κοσιο-,-kosio-,-kosio-,HONDERDVOUD,NULL,NULL
769,-κοσμ-,-kosm-,-kosm-,SYSTEEM,NULL,NULL
770,-κοστ-,-kost-,-kost-,TIGSTE,NULL,NULL
771,-κουμι-,-koumi-,-koumi-,KOUMI (ARAM),NULL,NULL
772,κουρτος,kourtos,kourtos,QUARTUS (LAT),NULL,NULL
773,κουστωδια,koustōdia,koustwdia,CUSTODIA (LAT),NULL,NULL
774,-κουφ-,-koup<sup>h</sup>-,-kouf-,BAKEN,NULL,NULL
775,-κοφιν-,-kop<sup>h</sup>in-,-kofin-,KORF,NULL,NULL
776,-κρα-,-kra-,-kra-,SCHREEUWEN,NULL,NULL
777,-κρα-/-κερα-/-καρ-/-κρει-,-kra-/-kera-/-kar-/-krei-,-kra-/-kera-/-kar-/-krei-,HOUDEN,NULL,NULL
778,-κερα-,-kera-,-kera-,HOUDEN,777,NULL
779,-καρ-,-kar-,-kar-,HOUDEN,777,NULL
781,γομορρα,gomorr<sup>h</sup>a,gomorra,GOMORRA (HEB),NULL,NULL
783,-κρεα-,-krea-,-krea-,VLEESWAAR,NULL,NULL
784,-κρεμ-/-κρημ-/-κρασ-,-krem-/-krēm-/-kras-,-krem-/-krhm-/-kras-,HANGEN,NULL,NULL
786,κρησκης,krēskēs,krhskhs,CRESCENS (LAT),NULL,NULL
787,-κρι-,-kri-,-kri-,RICHTEN,NULL,NULL
788,-κριθ-,-krit<sup>h</sup>-,-kriq-,GERST,NULL,NULL
789,-κριν-,-krin-,-krin-,ANAMOON,NULL,NULL
790,κρισπος,krispos,krispos,CRISPUS (LAT),NULL,NULL
791,-κρου-,-krou-,-krou-,KLOP,NULL,NULL
792,-κρου-,-krou-,-krou-,VORST,NULL,NULL
793,-κρυπ-/-κρυφ-,-krup-/-krup<sup>h</sup>-,-krup-/-kruf-,VERBERGEN,NULL,NULL
794,-κτειν-/-κτον-,-ktein-/-kton-,-ktein-/-kton-,DOODMAKEN,NULL,NULL
795,-κτ-,-kt-,-kt-,VERWERVEN,NULL,NULL
796,-κτI-,-ktI-,-ktI-,SCHEPPEN,NULL,NULL
797,-κυ-,-ku-,-ku-,WEMELEN,NULL,1395
798,-κυβ-,-kub-,-kub-,TEERLING,NULL,NULL
799,-κυβερ-,-kuber-,-kuber-,STUREN,NULL,NULL
800,-κυκλ-,-kukl-,-kukl-,CIRKEL,NULL,NULL
801,-κυλ-,-kul-,-kul-,"ROL (vergelijk <span class=""Greek"">-kukl-</span> CIRKEL)",NULL,800
802,-κυλ-,-kul-,-kul-,MANK,NULL,NULL
803,-κυμ-,-kum-,-kum-,GOLF,NULL,NULL
804,-κυμβ-,-kumb-,-kumb-,BEKKEN,NULL,NULL
805,-κυμιν-,-kumin-,-kumin-,KOMIJN,NULL,NULL
806,-κυμιν-,-kumin-,-kumin-,CYPRUS,NULL,NULL
807,-κυπτ-,-kupt-,-kupt-,BUKKEN,NULL,NULL
808,-κυρ-,-kur-,-kur-,BEKRACHTIGEN,NULL,NULL
809,-κυρην-,-kurēn-,-kurhn-,CYRENE,NULL,NULL
810,κυρηνιος,kurēnios,kurhnios,QUIRINUS (LAT),NULL,NULL
811,-κωλ-,-kōl-,-kwl-,KARKAS,NULL,NULL
812,-κωλυ-,-kōlu-,-kwlu-,VERHOEDEN,NULL,NULL
813,-κωμ-,-kōm-,-kwm-,DORP,NULL,NULL
815,-κωνωπ-,-kōnōp-,-kwnwp-,MUG,NULL,NULL
816,κως,kōs,kws,KOS,NULL,NULL
817,κωςαμ,kōsam,kwsam,KOSAM (HEB),NULL,NULL
818,-κωφ-,-kōp<sup>h</sup>-,-kwf-,STOM,NULL,NULL
819,-λα-/-λη-/-λειτ-,-la-/-lē-/-leit-,-la-/-lh-/-leit-,VOLK,NULL,NULL
820,-λα-,-la-,-la-,IN+ROTS,NULL,NULL
821,-λαβ-/-λαμ[β]-/-ληπ-/-ληφ-,-lab-/-lam[b]-/-lēp-/-lēp<sup>h</sup>-,-lab-/-lam[b]-/-lhp-/-lhf-,VATTEN,NULL,NULL
822,λαζαρος,lazaros,lazaros,LAZARUS (HEB),NULL,NULL
823,-λαθ-/-λα[ν]θ-/-ληθ-/-λη-,-lat<sup>h</sup>-/-la[n]t<sup>h</sup>-/-lēt<sup>h</sup>-/-lē-,-laq-/-la[n]q-/-lhq-/-lh-,VERGETEN,NULL,NULL
824,-λακ-,-lak-,-lak-,OPENRIJTEN,NULL,NULL
825,-λακτ-,-lakt-,-lakt-,TRAP,NULL,NULL
826,-λαλ-,-lal-,-lal-,SPREKEN,NULL,NULL
827,λαμεχ,lamek<sup>h</sup>,lamec,LAMECH (HEB),NULL,NULL
828,λαμπ-,lamp-,lamp-,STRALEN,NULL,NULL
829,-λαπ-,-lap-,-lap-,KLOTSEN,NULL,NULL
830,λαρυγξ,larugk<sup>s</sup>,larugx,KEEL,NULL,NULL
831,λασεα,lasea,lasea,LASEA,NULL,NULL
832,-λατρ-,-latr-,-latr-,GODSDIENST,NULL,NULL
833,-λαυ-,-lau-,-lau-,GENOEGEN,NULL,NULL
834,-λαχ-/-λα[γ]χ-/-λογχ-,-lak<sup>h</sup>-/-la[g]k<sup>h</sup>-/-logk<sup>h</sup>-,-lac-/-la[g]c-/-logc-,TOEVALLIG+ZIJN,NULL,NULL
835,-λαχαν-,-lak<sup>h</sup>an-,-lacan-,GROEN-te,NULL,NULL
836,-λε-,-le-,-le-,LEEUW,NULL,NULL
837,-λεγ-/-λογ-/-λεκ-/-λοι-,-leg-/-log-/-lek-/-loi-,-leg-/-log-/-lek-/-loi-,LEGGEN,NULL,NULL
838,-λογιζ-/-λογισ-,-logiz-/-logis-,-logiz-/-logis-,LEGGEN,837,NULL
839,-λοι-,-loi-,-loi-,LEGGEN,837,NULL
840,λεγεων,legeōn,legewn,LEGIOEN (LAT),NULL,NULL
841,-λει-,-lei-,-lei-,GLAD,NULL,NULL
842,-λειπ-/-λοιπ-/-λειμ-/-λιμπ-,-leip-/-loip-/-leim-/-limp-,-leip-/-loip-/-leim-/-limp-,ONTBREKEN,NULL,NULL
843,-λειχ-,-leik<sup>h</sup>-,-leic-,LIKKEN,NULL,NULL
844,-λεμα-/-λαμα-,-lema-/-lama-,-lema-/-lama-,LAMA (ARAM),NULL,NULL
845,-λεντ-,-lent-,-lent-,HANDDOEK,NULL,NULL
846,-λεπ-,-lep-,-lep-,BLEEK,NULL,NULL
847,λευι-,leui-,leui-,LEVI (HEB),NULL,NULL
848,λευκ-,leuk-,leuk-,WIT,NULL,NULL
850,-λην-,-lēn-,-lhn-,KUIP,NULL,NULL
851,-ληστ-,-lēst-,-lhst-,ROVER,NULL,NULL
852,-λιαν-,-lian-,-lian-,ZEER,NULL,NULL
853,-λιβαν-,-liban-,-liban-,WIT (HEB),NULL,NULL
854,λιβερτινοι,libertinoi,libertinoi,LIBERTIJNEN (LAT),NULL,NULL
855,λιβυα,libua,libua,LIBIE,NULL,NULL
856,-λιθ-,-lit<sup>h</sup>-,-liq-,STEEN,NULL,NULL
857,-λικμ-,-likm-,-likm-,WANNEN,NULL,NULL
858,-λιμ-,-lim-,-lim-,HONGER,NULL,NULL
859,-λιμ-,-lim-,-lim-,MEER,NULL,NULL
860,-λιν-,-lin-,-lin-,VLAS,NULL,NULL
861,λινοσ,linos,linos,LINUS,NULL,NULL
862,-λιπ-,-lip-,-lip-,GLIMMEND,NULL,NULL
864,-λιτρ-,-litr-,-litr-,POND,NULL,NULL
865,λιψ,lip<sup>s</sup>,liy,ZUID+WEST,NULL,NULL
866,-λοιμ-,-loim-,-loim-,PEST,NULL,NULL
867,λουκας,loukas,loukas,LUCAS,NULL,NULL
868,λουκιος,loukios,loukios,LUCIUS,NULL,NULL
869,λου,lou,lou,BAD,NULL,NULL
870,-λυ-,-lu-,-lu-,"LOS (vergelijk <span class=""Greek"">-lou-</span> BADEN)",NULL,869
871,-λυτρ-,-lutr-,-lutr-,LOS,NULL,NULL
872,λυδδα,ludda,ludda,LUDDA,NULL,NULL
